City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,kazerun,29.6195,51.6541,62.11,66,99,2.08,IR,1732569188
333,las palmas,28.4204,-14.0131,68.79,88,20,10.36,ES,1732569063
334,naze,28.3667,129.4833,71.13,69,86,18.32,JP,1732569188
335,fayroz koh,34.5195,65.2509,36.5,47,4,2.53,AF,1732569188
336,longmen,24.9597,118.0889,62.58,88,26,5.79,CN,1732569189
337,andilamena,-17.0167,48.5833,66.07,88,100,4.41,MG,1732569189
338,morondava,-20.2833,44.2833,79.18,85,8,1.92,MG,1732569189
339,port hedland,-20.3167,118.5667,82.45,69,97,11.5,AU,1732569189
340,port blair,11.6667,92.75,80.53,82,100,13.11,IN,1732569189
341,dapchi,12.4904,11.4944,71.29,24,6,9.35,NG,1732569189
342,mizque,-17.941,-65.3402,82.15,44,98,15.52,BO,1732569189
343,callao,-12.0667,-77.15,71.89,73,0,14.97,PE,1732569133
344,magalia,39.8121,-121.5783,47.95,93,100,1.99,US,1732569190
345,keflavik,64.0049,-22.5624,25.23,74,0,6.91,IS,1732569190
346,pokrovskoye,47.4157,38.8971,33.73,81,35,14.38,RU,1732569190
347,pisco,-13.7,-76.2167,73.45,68,0,24.16,PE,1732569190
348,revda,56.801,59.9303,22.5,89,54,2.48,RU,1732569190
349,banda aceh,5.5577,95.3222,77.5,90,100,5.19,ID,1732569190
350,daru,-9.0763,143.2092,80.26,88,85,12.33,PG,1732569190
351,saint martinville,30.1252,-91.8335,80.08,67,75,16.11,US,1732569191
352,alegrete,-29.7831,-55.7919,70.48,96,100,8.61,BR,1732569191
353,pyapon,16.2833,95.6833,71.06,85,100,6.78,MM,1732569191
354,singkil,-7.9855,111.4161,77.63,90,85,4.16,ID,1732569191
355,kulhudhuffushi,6.6221,73.07,82.02,73,100,7.56,MV,1732569191
356,ryotsu-minato,38.0833,138.4333,45.72,68,100,4.83,JP,1732569018
357,ardabil,38.2498,48.2933,40.55,100,100,6.91,IR,1732569192
358,promyshlennovskiy,55.4833,86.2,21.97,99,98,3.8,RU,1732569192
